timestamp,Open,High,Low,Close,Volume
2021-10-15,150.17,165.38,146.86,163.195,1479947.5
2021-10-16,163.195,164.86,156.2,157.72,564190.9
2021-10-17,157.72,167.765,153.15,160.215,926643.8
2021-10-18,160.215,162.995,155.07,157.32,552096.4
2021-10-19,157.32,159.455,153.33,156.055,360907.4
2021-10-20,156.055,176.89,155.265,176.81,1030465.0
2021-10-21,176.81,194.39,176.805,190.5,2428742.6
2021-10-22,190.5,215.615,188.125,196.365,2650418.3
2021-10-23,196.365,205.9,192.27,197.93,1210994.5
2021-10-24,197.93,204.74,185.525,202.315,992864.2
2021-10-25,202.315,218.835,198.35,209.745,1322986.7
2021-10-26,209.745,214.32,196.27,199.88,977170.4
2021-10-27,199.88,205.59,174.76,184.3,1582133.2
2021-10-28,184.3,201.395,181.715,195.41,785210.7
2021-10-29,195.41,205.245,194.66,200.375,566677.6
2021-10-30,200.375,200.635,187.41,195.885,418206.2
2021-10-31,195.885,205.21,185.5,202.665,600773.8
2021-11-01,202.665,211.615,197.64,204.08,838496.9
2021-11-02,204.08,222.555,201.26,221.145,647559.1
2021-11-03,221.145,246.3,216.1,243.285,1614526.0
2021-11-04,243.285,250.485,234.055,247.045,1152125.7
2021-11-05,247.045,248.265,230.7,236.27,610296.4
2021-11-06,236.27,259.96,234.97,258.37,856275.4
2021-11-07,258.37,258.59,246.035,249.67,563865.2
2021-11-08,249.67,253.67,240.69,248.565,603641.7
2021-11-09,248.565,253.38,237.555,239.3,451525.0
2021-11-10,239.3,248.16,215.5,233.335,910891.9
2021-11-11,233.335,246.42,229.0,233.61,503388.5
2021-11-12,233.61,239.44,221.155,228.52,602176.3
2021-11-13,228.52,242.145,224.9,241.615,424998.4
2021-11-14,241.615,241.875,230.6,238.7,302106.8
2021-11-15,238.7,246.3,234.615,238.29,477229.0
2021-11-16,238.29,238.295,213.485,219.195,667778.2
2021-11-17,219.195,222.16,209.12,218.905,434086.8
2021-11-18,218.905,222.705,186.425,195.235,889065.6
2021-11-19,195.235,219.28,189.12,215.31,574809.5
2021-11-20,215.31,221.06,206.11,217.895,309303.1
2021-11-21,217.895,235.375,210.7,230.485,389126.9
2021-11-22,230.485,232.14,211.665,215.905,517288.8
2021-11-23,215.905,226.0,210.905,221.94,264436.5
2021-11-24,221.94,222.445,200.295,206.02,339566.9
2021-11-25,206.02,216.375,202.18,210.11,335195.0
2021-11-26,210.11,210.575,182.575,191.91,589282.9
2021-11-27,191.91,199.36,190.66,192.835,257647.8
2021-11-28,192.835,201.825,181.0,200.71,365492.3
2021-11-29,200.71,212.645,199.745,204.325,319092.6
2021-11-30,204.325,218.335,199.685,208.415,399228.3
2021-12-01,208.415,232.385,207.93,229.74,608068.7
2021-12-02,229.74,242.93,220.21,233.78,867565.1
2021-12-03,233.78,239.375,204.23,211.68,832985.8
2021-12-04,211.68,212.615,166.695,200.675,1398158.9
2021-12-05,200.675,204.3,181.325,196.16,610116.1
2021-12-06,196.16,197.585,176.255,193.63,533366.0
2021-12-07,193.63,203.86,187.99,190.25,364442.4
2021-12-08,190.25,196.2,183.405,194.47,358130.8
2021-12-09,194.47,196.565,178.75,181.06,353420.8
2021-12-10,181.06,184.57,167.1,167.475,444568.6
2021-12-11,167.475,173.6,161.25,171.99,352016.4
2021-12-12,171.99,176.75,167.735,172.82,207039.3
2021-12-13,172.82,172.82,147.965,155.075,711368.7
2021-12-14,155.075,163.195,149.5,161.2,490723.8
2021-12-15,161.2,182.4,156.705,178.315,803032.3
2021-12-16,178.315,188.835,174.305,176.855,594872.3
2021-12-17,176.855,182.41,168.11,175.47,605131.5
2021-12-18,175.47,184.92,171.065,182.735,334193.4
2021-12-19,182.735,189.145,178.2,179.9,379817.2
2021-12-20,179.9,180.965,168.5,173.94,364181.3
2021-12-21,173.94,182.38,170.41,179.665,360910.5
2021-12-22,179.665,187.38,177.005,178.39,374770.4
2021-12-23,178.39,193.605,175.73,190.255,391063.0
2021-12-24,190.255,197.43,182.65,190.205,476837.6
2021-12-25,190.205,195.16,188.35,192.94,248447.8
2021-12-26,192.94,200.535,189.67,197.79,378460.0
2021-12-27,197.79,204.8,194.52,195.725,322489.5
2021-12-28,195.725,195.825,176.33,177.2,545561.0
2021-12-29,177.2,180.655,170.07,170.71,390947.4
2021-12-30,170.71,175.7,168.16,172.52,218391.4
2021-12-31,172.52,177.7,167.575,170.09,266178.3
2022-01-01,170.09,179.18,170.08,179.0,138058.6
2022-01-02,179.0,179.75,174.1,176.39,158290.1
2022-01-03,176.39,176.425,165.99,170.24,230682.5
2022-01-04,170.24,173.99,166.46,167.875,271027.9
2022-01-05,167.875,171.34,144.36,154.365,498842.1
2022-01-06,154.365,154.72,146.16,150.265,451347.5
2022-01-07,150.265,150.61,133.2,136.465,974134.3
2022-01-08,136.465,147.995,132.74,142.215,886181.6
2022-01-09,142.215,145.68,137.835,140.815,443425.5
2022-01-10,140.815,143.72,129.705,135.85,734734.4
2022-01-11,135.85,143.5,133.61,140.25,415153.2
2022-01-12,140.25,153.3,138.22,151.425,518605.8
2022-01-13,151.425,158.0,145.53,146.13,560823.1
2022-01-14,146.13,151.12,141.255,146.16,446502.4
2022-01-15,146.16,149.46,143.48,147.655,255678.4
2022-01-16,147.655,151.975,146.13,148.005,265681.4
2022-01-17,148.005,148.315,137.1,139.815,404474.5
2022-01-18,139.815,142.72,134.33,141.235,351281.3
2022-01-19,141.235,142.65,132.745,135.325,372646.9
2022-01-20,135.325,144.03,124.93,127.54,480507.0
2022-01-21,127.54,128.715,105.73,112.25,1764953.3
2022-01-22,112.25,114.155,87.505,94.47,2891353.8
2022-01-23,94.47,104.65,93.22,99.8,1415951.1
2022-01-24,99.8,99.83,80.75,91.935,3336004.4
2022-01-25,91.935,99.87,87.43,94.58,1848674.9
2022-01-26,94.58,104.625,89.14,91.97,2063638.3
2022-01-27,91.97,94.56,85.255,89.53,1502618.9
2022-01-28,89.53,93.555,87.085,91.315,1074833.0
2022-01-29,91.315,98.82,90.475,96.14,1069841.8
2022-01-30,96.14,97.51,91.295,93.24,621755.9
2022-01-31,93.24,101.315,89.155,99.415,923850.3
2022-02-01,99.415,113.69,99.005,110.02,2133347.3
2022-02-02,110.02,112.245,97.04,101.86,2320514.3
2022-02-03,101.86,103.125,93.765,101.835,1974847.3
2022-02-04,101.835,112.95,100.265,112.545,2088808.2
2022-02-05,112.545,118.515,110.2,113.74,1340794.6
2022-02-06,113.74,116.03,111.045,115.21,801693.2
2022-02-07,115.21,121.815,112.635,117.45,1139534.3
2022-02-08,117.45,120.38,109.625,113.36,1235979.8
2022-02-09,113.36,117.0,109.24,113.98,849817.6
2022-02-10,113.98,114.87,105.61,106.095,1426751.8
2022-02-11,106.095,108.07,95.12,96.505,1230285.5
2022-02-12,96.505,99.68,92.68,95.87,1062747.7
2022-02-13,95.87,97.33,91.32,92.85,706806.6
2022-02-14,92.85,97.885,90.63,96.33,1091024.2
2022-02-15,96.33,105.72,96.33,105.45,1172606.1
2022-02-16,105.45,105.49,98.205,101.81,1003984.2
2022-02-17,101.81,102.74,92.255,93.495,1108085.9
2022-02-18,93.495,96.39,89.235,89.865,956739.4
2022-02-19,89.865,92.69,88.455,91.245,748227.5
2022-02-20,91.245,93.91,85.39,90.705,1792066.3
2022-02-21,90.705,96.14,82.53,82.94,2258030.0
2022-02-22,82.94,87.57,80.945,86.355,1657028.0
2022-02-23,86.355,93.415,84.35,84.55,1888772.5
2022-02-24,84.55,95.545,75.295,89.345,3934248.7
2022-02-25,89.345,95.0,86.82,92.745,4301132.6
2022-02-26,92.745,95.085,89.065,90.215,1093783.6
2022-02-27,90.215,92.165,84.045,85.57,1248013.3
2022-02-28,85.57,102.84,84.135,99.695,1968063.0
2022-03-01,99.695,102.0,94.23,98.635,1858738.3
2022-03-02,98.635,106.38,96.79,100.715,2375256.3
2022-03-03,100.715,101.705,94.02,95.64,1496574.3
2022-03-04,95.64,95.97,86.845,88.285,1722264.9
2022-03-05,88.285,91.135,85.91,89.595,912496.9
2022-03-06,89.595,89.92,83.995,84.55,1048279.3
2022-03-07,84.55,86.685,79.85,81.605,1554679.6
2022-03-08,81.605,85.08,81.27,82.3,1310750.2
2022-03-09,82.3,89.885,81.955,88.085,1647184.5
2022-03-10,88.085,88.58,80.665,82.86,1487978.3
2022-03-11,82.86,84.28,80.0,80.66,1493027.9
2022-03-12,80.66,82.7,80.585,81.415,734920.7
2022-03-13,81.415,83.705,77.6,78.695,1194578.2
2022-03-14,78.695,82.235,77.95,81.195,1219109.9
2022-03-15,81.195,85.955,78.7,82.83,1259496.9
2022-03-16,82.83,87.92,81.545,87.735,1860386.8
2022-03-17,87.735,91.045,86.57,87.82,1817976.0
2022-03-18,87.82,92.225,84.38,89.675,1741989.1
2022-03-19,89.675,94.505,89.205,92.285,1279547.4
2022-03-20,92.285,92.505,87.875,88.585,908540.9
2022-03-21,88.585,91.24,86.62,88.59,1286759.7
2022-03-22,88.59,93.895,87.925,90.365,1634692.1
2022-03-23,90.365,96.35,89.055,94.855,1365594.1
2022-03-24,94.855,103.745,93.305,102.3,2430914.1
2022-03-25,102.3,104.875,96.97,98.555,2081900.8
2022-03-26,98.555,103.35,97.51,101.735,1522720.8
2022-03-27,101.735,107.38,98.68,106.95,1562624.0
2022-03-28,106.95,113.81,105.135,105.76,2615785.3
2022-03-29,105.76,115.57,105.42,111.62,2582748.3
2022-03-30,111.62,125.35,107.01,120.795,2993132.4
2022-03-31,120.795,129.555,119.895,122.85,3754740.0
2022-04-01,122.85,138.34,117.27,134.45,3900194.7
2022-04-02,134.45,143.67,131.37,132.49,2679015.8
2022-04-03,132.49,141.23,130.525,136.89,1912391.4
2022-04-04,136.89,138.32,125.78,132.175,2072465.8
2022-04-05,132.175,136.655,126.005,126.885,1872474.3
2022-04-06,126.885,127.455,112.06,112.89,3349703.1
2022-04-07,112.89,119.915,110.7,118.395,2074009.2
2022-04-08,118.395,122.415,108.05,109.86,2610866.3
2022-04-09,109.86,113.635,108.06,112.865,1183202.1
2022-04-10,112.865,116.1,109.695,111.04,1534738.6
2022-04-11,111.04,111.925,98.0,99.67,3431009.2
2022-04-12,99.67,109.185,98.185,103.175,2999806.1
2022-04-13,103.175,105.93,100.1,104.92,2546860.0
2022-04-14,104.92,107.695,98.735,100.745,2194733.7
2022-04-15,100.745,102.95,99.52,101.34,1269725.1
2022-04-16,101.34,103.485,100.555,102.04,895666.8
2022-04-17,102.04,105.46,99.54,100.11,1459981.5
2022-04-18,100.11,102.72,94.47,102.275,2279143.1
2022-04-19,102.275,108.75,101.005,108.48,1768146.9
2022-04-20,108.48,110.86,104.08,105.52,1870704.1
2022-04-21,105.52,109.9,99.75,101.705,2092531.1
2022-04-22,101.705,103.53,99.16,100.495,1463495.4
2022-04-23,100.495,102.855,98.22,100.575,937676.5
2022-04-24,100.575,102.225,98.47,99.16,843474.1
2022-04-25,99.16,101.57,94.23,100.91,1890047.9
2022-04-26,100.91,102.0,94.475,95.7,1373808.3
2022-04-27,95.7,100.735,94.82,98.33,1333274.5
2022-04-28,98.33,100.52,96.225,98.175,1375005.9
2022-04-29,98.175,98.6,92.26,93.95,1223459.2
2022-04-30,93.95,94.945,81.595,84.52,1475736.6
2022-05-01,84.52,93.12,83.95,89.62,1570599.0
2022-05-02,89.62,90.835,85.015,87.45,1415014.6
2022-05-03,87.45,88.745,84.61,85.8,1013542.8
2022-05-04,85.8,93.06,85.42,92.745,1426797.2
2022-05-05,92.745,95.195,81.095,84.455,2461717.5
2022-05-06,84.455,84.77,79.785,81.615,1837428.8
2022-05-07,81.615,82.29,77.02,78.815,1268441.6
2022-05-08,78.815,79.38,73.51,75.345,2277304.8
2022-05-09,75.345,77.2,61.68,62.115,5534613.1
2022-05-10,62.115,73.965,60.015,66.845,6646103.8
2022-05-11,66.845,68.44,43.03,50.865,10219012.8
2022-05-12,50.865,54.31,37.1,44.695,11789209.6
2022-05-13,44.695,56.335,43.8,48.895,5664806.7
2022-05-14,48.895,53.945,45.83,52.44,4166006.1
2022-05-15,52.44,59.285,49.58,58.83,3476443.9
2022-05-16,58.83,58.83,51.81,53.74,5201600.7
2022-05-17,53.74,58.21,52.97,57.05,4606999.9
2022-05-18,57.05,57.895,49.33,49.9,3765741.6
2022-05-19,49.9,54.07,48.1,52.175,5316615.8
2022-05-20,52.175,53.645,47.76,49.385,4610556.7
2022-05-21,49.385,51.245,48.4,50.29,2338324.3
2022-05-22,50.29,53.205,49.66,52.475,2527021.4
2022-05-23,52.475,54.665,48.54,49.125,3975904.0
2022-05-24,49.125,50.815,47.05,49.67,3745386.2
2022-05-25,49.67,50.57,47.535,47.96,3126852.5
2022-05-26,47.96,48.645,41.59,43.425,6775812.8
2022-05-27,43.425,43.92,39.915,41.145,6979134.7
2022-05-28,41.145,45.065,40.305,44.225,3507205.8
2022-05-29,44.225,45.71,41.775,44.95,4040036.8
2022-05-30,44.95,48.5,44.24,47.205,4666675.1
2022-05-31,47.205,48.3,44.53,45.74,4218658.3
2022-06-01,45.74,46.11,39.47,40.095,5205279.7
2022-06-02,40.095,41.74,38.1,40.855,6035037.2
2022-06-03,40.855,41.515,37.565,38.265,6147637.1
2022-06-04,38.265,39.54,35.65,38.995,6730190.4
2022-06-05,38.995,40.255,37.815,38.52,6074583.6
2022-06-06,38.52,44.88,38.28,42.37,12568193.2
2022-06-07,42.37,42.785,37.08,39.28,14754656.3
2022-06-08,39.28,41.3,38.255,38.795,7507047.7
2022-06-09,38.795,41.93,38.42,39.95,6321784.5
2022-06-10,39.95,40.9,36.715,37.125,6784419.9
2022-06-11,37.125,37.93,33.135,33.9,7640245.6
2022-06-12,33.9,34.5,30.53,30.565,10807686.3
2022-06-13,30.565,31.095,26.0,28.6,24263159.7
2022-06-14,28.6,32.215,25.765,29.55,17154826.8
2022-06-15,29.55,34.88,26.765,34.725,17364089.8
